state.name,county,POP2019,test
Illinois,Livingston County,35648,0
Illinois,Logan County,28618,0
Illinois,McDonough County,29682,0
Illinois,McHenry County,307774,0
Illinois,McLean County,171517,0
Illinois,Macon County,104009,0
Illinois,Macoupin County,44926,0
Illinois,Madison County,262966,0
Illinois,Marion County,37205,0
Illinois,Marshall County,11438,0
Illinois,Mason County,13359,0
Illinois,Massac County,13772,0
Illinois,Menard County,12196,0
Illinois,Mercer County,15437,0
Illinois,Monroe County,34637,0
Illinois,Montgomery County,28414,0
Illinois,Morgan County,33658,0
Illinois,Moultrie County,14501,0
Illinois,Ogle County,50643,0
Illinois,Peoria County,179179,0
Illinois,Perry County,20916,0
Illinois,Piatt County,16344,0
Illinois,Pike County,15561,0
Illinois,Pope County,4177,0
Illinois,Pulaski County,5335,0
Illinois,Putnam County,5739,0
Illinois,Randolph County,31782,0
Illinois,Richland County,15513,0
Illinois,Rock Island County,141879,0
Illinois,St. Clair County,259686,0
Illinois,Saline County,23491,0
Illinois,Sangamon County,194672,0
Illinois,Schuyler County,6768,0
Illinois,Scott County,4951,0
Illinois,Shelby County,21634,0
Illinois,Stark County,5342,0
Illinois,Stephenson County,44498,0
Illinois,Tazewell County,131803,0
Illinois,Union County,16653,0
Illinois,Vermilion County,75758,0
Illinois,Wabash County,11520,0
Illinois,Warren County,16844,0
Illinois,Washington County,13887,0
Illinois,Wayne County,16215,0
Illinois,White County,13537,0
Illinois,Whiteside County,55175,0
Illinois,Will County,690743,0
Illinois,Williamson County,66597,0
Illinois,Winnebago County,282572,0
Illinois,Woodford County,38459,0
Indiana,Adams County,35777,0
Indiana,Allen County,379299,0
Indiana,Bartholomew County,83779,0
Indiana,Benton County,8748,0
Indiana,Blackford County,11758,0
Indiana,Boone County,67843,0
Indiana,Brown County,15092,0
Indiana,Carroll County,20257,0
Indiana,Cass County,37689,0
Indiana,Clark County,118302,0
Indiana,Clay County,26225,0
Indiana,Clinton County,32399,0
Indiana,Crawford County,10577,0
Indiana,Daviess County,33351,0
Indiana,Dearborn County,49458,0
Indiana,Decatur County,26559,0
Indiana,DeKalb County,43475,0
Indiana,Delaware County,114135,0
Indiana,Dubois County,42736,0
Indiana,Elkhart County,206341,0
Indiana,Fayette County,23102,0
Indiana,Floyd County,78522,0
Indiana,Fountain County,16346,0
Indiana,Franklin County,22758,0
Indiana,Fulton County,19974,0
Indiana,Gibson County,33659,0
Indiana,Grant County,65769,0
Indiana,Greene County,31922,0
Indiana,Hamilton County,338011,0
Indiana,Hancock County,78168,0
Indiana,Harrison County,40515,0
Indiana,Hendricks County,170311,0
Indiana,Henry County,47972,0
Indiana,Howard County,82544,0
Indiana,Huntington County,36520,0
Indiana,Jackson County,44231,0
Indiana,Jasper County,33562,0
Indiana,Jay County,20436,0
Indiana,Jefferson County,32308,0
Indiana,Jennings County,27735,0
Indiana,Johnson County,158167,0
Indiana,Knox County,36594,0
Indiana,Kosciusko County,79456,0
Indiana,LaGrange County,39614,0
Indiana,Lake County,485493,0
Indiana,LaPorte County,109888,0
Indiana,Lawrence County,45370,0
Indiana,Madison County,129569,0
Indiana,Marion County,964582,0
Indiana,Marshall County,46258,0
Indiana,Martin County,10255,0
Indiana,Miami County,35516,0
Indiana,Monroe County,148431,0
Indiana,Montgomery County,38338,0
Indiana,Morgan County,70489,0
Indiana,Newton County,13984,0
Indiana,Noble County,47744,0
Indiana,Ohio County,5875,0
Indiana,Orange County,19646,0
Indiana,Owen County,20799,0
Indiana,Parke County,16937,0
Indiana,Perry County,19169,0
Indiana,Pike County,12389,0
Indiana,Porter County,170389,0
Indiana,Posey County,25427,0
Indiana,Pulaski County,12353,0
Indiana,Putnam County,37576,0
Indiana,Randolph County,24665,0
Indiana,Ripley County,28324,0
Indiana,Rush County,16581,0
Indiana,St. Joseph County,271826,0
Indiana,Scott County,23873,0
Indiana,Shelby County,44729,0
Indiana,Spencer County,20277,0
Indiana,Starke County,22995,0
Indiana,Steuben County,34594,0
Indiana,Sullivan County,20669,0
Indiana,Switzerland County,10751,0
Indiana,Tippecanoe County,195732,0
Indiana,Tipton County,15148,0
Indiana,Union County,7054,0
Indiana,Vanderburgh County,181451,0
Indiana,Vermillion County,15498,0
Indiana,Vigo County,107038,0
Indiana,Wabash County,30996,0
Indiana,Warren County,8265,0
Indiana,Warrick County,62998,0
Indiana,Washington County,28036,0
Indiana,Wayne County,65884,0
Indiana,Wells County,28296,0
Indiana,White County,24102,0
Indiana,Whitley County,33964,0
Iowa,Adair County,7152,0
Iowa,Adams County,3602,0
Iowa,Allamakee County,13687,0
Iowa,Appanoose County,12426,0
Iowa,Audubon County,5496,0
Iowa,Benton County,25645,0
Iowa,Black Hawk County,131228,0
Iowa,Boone County,26234,0
Iowa,Bremer County,25062,0
Iowa,Buchanan County,21175,0
Iowa,Buena Vista County,19620,0
Iowa,Butler County,14439,0
Iowa,Calhoun County,9668,0
Iowa,Carroll County,20165,0
Iowa,Cass County,12836,0
Iowa,Cedar County,18627,0
Iowa,Cerro Gordo County,42450,0
Iowa,Cherokee County,11235,0
Iowa,Chickasaw County,11933,0
Iowa,Clarke County,9395,0
Iowa,Clay County,16016,0
Iowa,Clayton County,17549,0
Iowa,Clinton County,46429,0
Iowa,Crawford County,16820,0
Iowa,Dallas County,93453,0
Iowa,Davis County,9000,0
Iowa,Decatur County,7870,0
Iowa,Delaware County,17011,0
Iowa,Des Moines County,38967,0
Iowa,Dickinson County,17258,0
Iowa,Dubuque County,97311,0
Iowa,Emmet County,9208,0
Iowa,Fayette County,19650,0
Iowa,Floyd County,15642,0
Iowa,Franklin County,10070,0
Iowa,Fremont County,6960,0
Iowa,Greene County,8888,0
Iowa,Grundy County,12232,0
Iowa,Guthrie County,10689,0
Iowa,Hamilton County,14773,0
Iowa,Hancock County,10630,0
Iowa,Hardin County,16846,0
Iowa,Harrison County,14049,0
Iowa,Henry County,19954,0
Iowa,Howard County,9158,0
Iowa,Humboldt County,9558,0
Iowa,Ida County,6860,0
Iowa,Iowa County,16184,0
Iowa,Jackson County,19439,0
Iowa,Jasper County,37185,0
Iowa,Jefferson County,18295,0
Iowa,Johnson County,151140,0
Iowa,Jones County,20681,0
Iowa,Keokuk County,10246,0
Iowa,Kossuth County,14813,0
Iowa,Lee County,33657,0
Iowa,Linn County,226706,0
Iowa,Louisa County,11035,0
Iowa,Lucas County,8600,0
Iowa,Lyon County,11755,0
Iowa,Madison County,16338,0
Iowa,Mahaska County,22095,0
Iowa,Marion County,33253,0
Iowa,Marshall County,39369,0
Iowa,Mills County,15109,0
Iowa,Mitchell County,10586,0
Iowa,Monona County,8615,0
Iowa,Monroe County,7707,0
Iowa,Montgomery County,9917,0
Iowa,Muscatine County,42664,0
Iowa,O'Brien County,13753,0
Iowa,Osceola County,5958,0
Iowa,Page County,15107,0
Iowa,Palo Alto County,8886,0
Iowa,Plymouth County,25177,0
Iowa,Pocahontas County,6619,0
Iowa,Polk County,490161,0
Iowa,Pottawattamie County,93206,0
Iowa,Poweshiek County,18504,0
Iowa,Ringgold County,4894,0
Iowa,Sac County,9721,0
Iowa,Scott County,172943,0
Iowa,Shelby County,11454,0
Iowa,Sioux County,34855,0
Iowa,Story County,97117,0
Iowa,Tama County,16854,0
Iowa,Taylor County,6121,0
Iowa,Union County,12241,0
Iowa,Van Buren County,7044,0
Iowa,Wapello County,34969,0
Iowa,Warren County,51466,0
Iowa,Washington County,21965,0
Iowa,Wayne County,6441,0
Iowa,Webster County,35904,0
Iowa,Winnebago County,10354,0
Iowa,Winneshiek County,19991,0
Iowa,Woodbury County,103107,0
Iowa,Worth County,7381,0
Iowa,Wright County,12562,0
Kansas,Allen County,12369,0
Kansas,Anderson County,7858,0
Kansas,Atchison County,16073,0
Kansas,Barber County,4427,0
Kansas,Barton County,25779,0
Kansas,Bourbon County,14534,0
Kansas,Brown County,9564,0
Kansas,Butler County,66911,0
